date,year,month,day,hour,camera_id,Gender,Input,Output,Age00,Age10,Age20,Age30,Age40,Age50,Age60,Age70,NaN
2022-04-01 00:00:00,2022,4,1,0,1,0,12,0,0,1,2,3,4,2,0,0,0
2022-04-01 00:00:00,2022,4,1,0,1,1,22,0,1,0,13,7,0,1,0,0,0
2022-04-01 00:00:00,2022,4,1,0,1,2,20,38,0,0,0,0,0,0,0,0,0
2022-04-01 01:00:00,2022,4,1,1,1,0,10,0,0,0,4,5,1,0,0,0,0
2022-04-01 01:00:00,2022,4,1,1,1,1,9,0,0,2,1,5,1,0,0,0,0
2022-04-01 01:00:00,2022,4,1,1,1,2,14,23,0,0,0,0,0,0,0,0,0
2022-04-01 02:00:00,2022,4,1,2,1,0,6,0,0,0,0,2,3,1,0,0,0
2022-04-01 02:00:00,2022,4,1,2,1,1,6,0,0,0,2,2,1,1,0,0,0
2022-04-01 02:00:00,2022,4,1,2,1,2,5,15,0,0,0,0,0,0,0,0,0
2022-04-01 03:00:00,2022,4,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0
2022-04-01 03:00:00,2022,4,1,3,1,1,7,0,0,0,4,2,1,0,0,0,0
2022-04-01 03:00:00,2022,4,1,3,1,2,8,9,0,0,0,0,0,0,0,0,0
2022-04-01 04:00:00,2022,4,1,4,1,0,2,0,0,1,1,0,0,0,0,0,0
2022-04-01 04:00:00,2022,4,1,4,1,1,2,0,0,0,0,2,0,0,0,0,0
2022-04-01 04:00:00,2022,4,1,4,1,2,5,7,0,0,0,0,0,0,0,0,0
2022-04-01 05:00:00,2022,4,1,5,1,0,8,0,0,0,2,2,1,1,2,0,0
2022-04-01 05:00:00,2022,4,1,5,1,1,3,0,0,0,0,2,0,1,0,0,0
2022-04-01 05:00:00,2022,4,1,5,1,2,8,10,0,0,0,0,0,0,0,0,0
2022-04-01 06:00:00,2022,4,1,6,1,0,21,1,0,0,0,2,4,6,10,0,0
2022-04-01 06:00:00,2022,4,1,6,1,1,3,0,0,0,0,1,1,1,0,0,0
2022-04-01 06:00:00,2022,4,1,6,1,2,4,15,0,0,0,0,0,0,0,0,0
2022-04-01 07:00:00,2022,4,1,7,1,0,56,1,0,0,2,1,13,25,16,0,0
2022-04-01 07:00:00,2022,4,1,7,1,1,27,0,0,0,1,8,9,3,5,1,0
2022-04-01 07:00:00,2022,4,1,7,1,2,25,32,0,0,0,0,0,0,0,0,0
2022-04-01 08:00:00,2022,4,1,8,1,0,77,0,0,1,1,4,12,25,31,3,0
2022-04-01 08:00:00,2022,4,1,8,1,1,70,1,0,0,4,18,16,14,15,4,0
2022-04-01 08:00:00,2022,4,1,8,1,2,73,86,0,0,0,0,0,0,0,0,0
2022-04-01 09:00:00,2022,4,1,9,1,0,43,0,0,1,2,5,4,22,8,1,0
2022-04-01 09:00:00,2022,4,1,9,1,1,32,1,0,1,2,2,13,8,3,4,0
2022-04-01 09:00:00,2022,4,1,9,1,2,34,47,0,0,0,0,0,0,0,0,0
2022-04-01 10:00:00,2022,4,1,10,1,0,30,4,0,3,1,2,6,10,10,2,0
2022-04-01 10:00:00,2022,4,1,10,1,1,17,1,0,0,2,3,5,7,1,0,0
2022-04-01 10:00:00,2022,4,1,10,1,2,31,76,0,0,0,0,0,0,0,0,0
2022-04-01 11:00:00,2022,4,1,11,1,0,36,1,0,0,3,4,7,15,8,0,0
2022-04-01 11:00:00,2022,4,1,11,1,1,22,1,0,0,1,4,7,6,4,1,0
2022-04-01 11:00:00,2022,4,1,11,1,2,54,79,0,0,0,0,0,0,0,0,0
2022-04-01 12:00:00,2022,4,1,12,1,0,73,1,0,1,9,11,12,28,9,4,0
2022-04-01 12:00:00,2022,4,1,12,1,1,36,0,0,1,1,5,14,8,6,1,0
2022-04-01 12:00:00,2022,4,1,12,1,2,70,144,0,0,0,0,0,0,0,0,0
2022-04-01 13:00:00,2022,4,1,13,1,0,41,4,1,0,6,7,15,7,9,0,0
2022-04-01 13:00:00,2022,4,1,13,1,1,33,0,0,0,0,8,11,9,5,0,0
2022-04-01 13:00:00,2022,4,1,13,1,2,55,101,0,0,0,0,0,0,0,0,0
2022-04-01 14:00:00,2022,4,1,14,1,0,47,3,0,1,5,6,6,18,14,0,0
2022-04-01 14:00:00,2022,4,1,14,1,1,31,0,2,0,5,7,4,11,2,0,0
2022-04-01 14:00:00,2022,4,1,14,1,2,64,106,0,0,0,0,0,0,0,0,0
2022-04-01 15:00:00,2022,4,1,15,1,0,58,1,1,1,7,15,9,16,10,0,0
2022-04-01 15:00:00,2022,4,1,15,1,1,47,0,1,2,4,15,7,12,5,1,0
2022-04-01 15:00:00,2022,4,1,15,1,2,49,80,0,0,0,0,0,0,0,0,0
2022-04-01 16:00:00,2022,4,1,16,1,0,54,3,0,2,6,6,13,12,14,4,0
2022-04-01 16:00:00,2022,4,1,16,1,1,48,3,0,3,6,21,13,8,0,0,0
2022-04-01 16:00:00,2022,4,1,16,1,2,37,113,0,0,0,0,0,0,0,0,0
2022-04-01 17:00:00,2022,4,1,17,1,0,79,0,0,1,1,6,15,38,15,3,0
2022-04-01 17:00:00,2022,4,1,17,1,1,55,4,0,1,5,14,16,13,9,1,0
2022-04-01 17:00:00,2022,4,1,17,1,2,61,160,0,0,0,0,0,0,0,0,0
2022-04-01 18:00:00,2022,4,1,18,1,0,81,6,0,3,7,7,24,33,12,1,0
2022-04-01 18:00:00,2022,4,1,18,1,1,58,4,0,0,6,22,16,13,4,1,0
2022-04-01 18:00:00,2022,4,1,18,1,2,79,208,0,0,0,0,0,0,0,0,0
2022-04-01 19:00:00,2022,4,1,19,1,0,73,6,0,8,24,25,13,6,3,0,0
2022-04-01 19:00:00,2022,4,1,19,1,1,61,3,1,5,32,22,4,0,0,0,0
2022-04-01 19:00:00,2022,4,1,19,1,2,66,140,0,0,0,0,0,0,0,0,0
2022-04-01 20:00:00,2022,4,1,20,1,0,83,5,0,3,27,37,11,6,3,1,0
2022-04-01 20:00:00,2022,4,1,20,1,1,83,2,0,12,50,20,1,2,0,0,0
2022-04-01 20:00:00,2022,4,1,20,1,2,80,124,0,0,0,0,0,0,0,0,0
2022-04-01 21:00:00,2022,4,1,21,1,0,62,4,0,7,18,23,8,8,2,0,0
2022-04-01 21:00:00,2022,4,1,21,1,1,43,0,1,2,20,19,1,0,0,0,0
2022-04-01 21:00:00,2022,4,1,21,1,2,62,106,0,0,0,0,0,0,0,0,0
2022-04-01 22:00:00,2022,4,1,22,1,0,66,3,0,0,18,22,18,11,0,0,0
2022-04-01 22:00:00,2022,4,1,22,1,1,53,1,0,6,32,14,1,1,0,0,0
2022-04-01 22:00:00,2022,4,1,22,1,2,49,96,0,0,0,0,0,0,0,0,0
2022-04-01 23:00:00,2022,4,1,23,1,0,49,5,0,8,11,13,17,5,0,0,0
2022-04-01 23:00:00,2022,4,1,23,1,1,37,5,0,4,14,17,4,2,1,0,0
2022-04-01 23:00:00,2022,4,1,23,1,2,66,70,0,0,0,0,0,0,0,0,0
2022-04-02 00:00:00,2022,4,2,0,1,0,35,1,0,3,11,15,3,3,1,0,0
2022-04-02 00:00:00,2022,4,2,0,1,1,11,0,0,2,6,3,0,0,0,0,0
2022-04-02 00:00:00,2022,4,2,0,1,2,29,50,0,0,0,0,0,0,0,0,0
2022-04-02 01:00:00,2022,4,2,1,1,0,19,0,0,0,2,6,7,4,0,0,0
2022-04-02 01:00:00,2022,4,2,1,1,1,16,0,0,2,7,5,1,1,0,0,0
2022-04-02 01:00:00,2022,4,2,1,1,2,20,18,0,0,0,0,0,0,0,0,0
2022-04-02 02:00:00,2022,4,2,2,1,0,6,1,0,1,1,1,2,2,0,0,0
2022-04-02 02:00:00,2022,4,2,2,1,1,7,0,0,0,5,2,0,0,0,0,0
2022-04-02 02:00:00,2022,4,2,2,1,2,11,24,0,0,0,0,0,0,0,0,0
2022-04-02 03:00:00,2022,4,2,3,1,0,7,0,0,0,2,1,3,1,0,0,0
2022-04-02 03:00:00,2022,4,2,3,1,1,2,0,0,1,1,0,0,0,0,0,0
2022-04-02 03:00:00,2022,4,2,3,1,2,6,6,0,0,0,0,0,0,0,0,0
2022-04-02 04:00:00,2022,4,2,4,1,0,2,0,0,0,0,1,1,0,0,0,0
2022-04-02 04:00:00,2022,4,2,4,1,1,3,0,0,0,3,0,0,0,0,0,0
2022-04-02 04:00:00,2022,4,2,4,1,2,3,6,0,0,0,0,0,0,0,0,0
2022-04-02 05:00:00,2022,4,2,5,1,0,4,0,0,0,0,0,2,2,0,0,0
2022-04-02 05:00:00,2022,4,2,5,1,1,5,0,0,1,2,1,0,1,0,0,0
2022-04-02 05:00:00,2022,4,2,5,1,2,4,11,0,0,0,0,0,0,0,0,0
2022-04-02 06:00:00,2022,4,2,6,1,0,9,1,0,0,0,3,3,2,2,0,0
2022-04-02 06:00:00,2022,4,2,6,1,1,9,1,0,0,0,4,2,2,2,0,0
2022-04-02 06:00:00,2022,4,2,6,1,2,6,22,0,0,0,0,0,0,0,0,0
2022-04-02 07:00:00,2022,4,2,7,1,0,20,0,0,0,2,2,3,5,6,2,0
2022-04-02 07:00:00,2022,4,2,7,1,1,5,0,0,0,0,1,3,1,0,0,0
2022-04-02 07:00:00,2022,4,2,7,1,2,7,18,0,0,0,0,0,0,0,0,0
2022-04-02 08:00:00,2022,4,2,8,1,0,28,0,0,1,0,1,4,15,7,0,0
2022-04-02 08:00:00,2022,4,2,8,1,1,24,0,0,0,4,6,4,7,3,0,0
2022-04-02 08:00:00,2022,4,2,8,1,2,22,45,0,0,0,0,0,0,0,0,0
2022-04-02 09:00:00,2022,4,2,9,1,0,36,1,0,3,3,6,5,9,9,2,0
2022-04-02 09:00:00,2022,4,2,9,1,1,20,1,1,1,3,7,1,5,3,0,0
2022-04-02 09:00:00,2022,4,2,9,1,2,26,59,0,0,0,0,0,0,0,0,0
2022-04-02 10:00:00,2022,4,2,10,1,0,29,1,0,1,1,1,5,11,7,4,0
2022-04-02 10:00:00,2022,4,2,10,1,1,32,3,0,1,3,3,12,11,5,0,0
2022-04-02 10:00:00,2022,4,2,10,1,2,34,95,0,0,0,0,0,0,0,0,0
2022-04-02 11:00:00,2022,4,2,11,1,0,44,1,0,0,2,4,8,12,15,4,0
2022-04-02 11:00:00,2022,4,2,11,1,1,22,3,0,0,3,7,7,3,5,0,0
2022-04-02 11:00:00,2022,4,2,11,1,2,43,153,0,0,0,0,0,0,0,0,0
2022-04-02 12:00:00,2022,4,2,12,1,0,52,2,2,1,4,4,10,23,9,1,0
2022-04-02 12:00:00,2022,4,2,12,1,1,43,3,0,1,6,7,18,10,3,1,0
2022-04-02 12:00:00,2022,4,2,12,1,2,91,137,0,0,0,0,0,0,0,0,0
2022-04-02 13:00:00,2022,4,2,13,1,0,46,4,0,3,4,2,9,20,12,0,0
2022-04-02 13:00:00,2022,4,2,13,1,1,30,3,0,1,4,6,6,11,4,1,0
2022-04-02 13:00:00,2022,4,2,13,1,2,95,119,0,0,0,0,0,0,0,0,0
